1584197738425Error: Configuration property "salt" is not defined   /api/user/signup
1584634372021TypeError: Cannot read property 'username' of undefined   /api/auth/login
1584634424263TypeError: Cannot read property 'username' of undefined   /api/auth/login
1585236992042SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585237737590SequelizeDatabaseError: Unknown column 's_product.type_name' in 'field list'   /api/product/
1585238065173TypeError: Cannot read property 'type_name' of null   /api/product/
1585238226838TypeError: Cannot read property 'type_name' of null   /api/product/
1585573097753s_product.name cannot be null   /api/product/createProduct
2020-04-18, 8:32:38 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:33:53 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:37:38 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:38:42 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:40:21 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/menuType/getList
2020-04-18, 8:48:21 午後   (menuTypeList not found)   /api/menuType/getList
2020-04-18, 8:48:36 午後   (menuTypeList not found)   /api/menuType/getList
2020-04-18, 8:49:33 午後   (menuTypeList not found)   /api/menuType/getList
2020-04-18, 8:56:29 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-18, 8:57:20 午後   (some compulsory input data is missing)   /api/productType/getOneByTypeName
2020-04-18, 9:22:12 午後   (some compulsory input data is missing)   /api/productType/createOne
2020-04-18, 9:24:41 午後   (productList not found)   /api/product/getList
2020-04-18, 9:25:00 午後   (productList not found)   /api/product/getList
2020-04-18, 9:26:54 午後   (SequelizeDatabaseError: Unknown column 'm_menu_type.ASC' in 'order clause')   /api/menuType/getList
2020-04-18, 9:29:27 午後   (productList not found)   /api/product/getList
2020-04-18, 9:37:02 午後   (productList not found)   /api/product/getList
2020-04-18, 9:37:40 午後   (productList not found)   /api/product/getList
2020-04-18, 9:37:50 午後   (productList not found)   /api/product/getList
2020-04-18, 9:38:31 午後   (productList not found)   /api/product/getList
2020-04-18, 9:39:05 午後   (some compulsory input data is missing)   /api/product/createOne
2020-04-18, 9:39:22 午後   (some compulsory input data is missing)   /api/product/createOne
2020-04-18, 9:45:08 午後   (productList not found)   /api/product/getList
2020-04-19, 12:55:54 午後   (some compulsory input data is missing)   /api/product/createOne
2020-04-20, 8:49:21 午後   (some compulsory input data is missing)   /api/product/createOne
2020-04-20, 8:59:44 午後   (some compulsory input data is missing)   /api/product/createOne
2020-04-20, 9:00:12 午後   (some compulsory input data is missing)   /api/product/createOne
2020-04-20, 10:32:55 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:33:21 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:33:28 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:33:52 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:33:59 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:34:08 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:34:11 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:34:16 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:34:38 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:36:50 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:36:52 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:36:54 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:37:14 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:37:15 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:37:18 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:39:03 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:39:17 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:39:19 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:39:27 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:39:59 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:40:01 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:40:04 午後   (some compulsory input data is missing)   /api/auth/login
2020-04-20, 10:40:16 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
2020-04-20, 10:40:22 午後   (Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client)   /api/auth/login
